Geolocation,Commodity,2021 January,2021 February,2021 March,2021 April,2021 May,2021 June,2021 July,2021 August,2021 September,2021 October,2021 November,2021 December,2022 January,2022 February,2022 March,2022 April,2022 May,2022 June,2022 July,2022 August,2022 September,2022 October,2022 November,2022 December,2023 January,2023 February,2023 March,2023 April,2023 May,2023 June,2023 July,2023 August,2023 September,2023 October,2023 November,2023 December,2024 January,2024 February,2024 March,2024 April,2024 May,2024 June,2024 July,2024 August,2024 September,2024 October,2024 November,2024 December,2025 January,2025 February,2025 March,2025 April,2025 May,2025 June,2025 July,2025 August,2025 September,2025 October,2025 November,2025 December
....Occidental Mindoro,Chili pepper fruit (Siling labuyo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.2,109.27,70,0,0,0,75,75,0,49.5,0,68.18,0,0,0,150,50,30,63.38,77.57,0,75,70,70
....Oriental Mindoro,"Garlic, dried bulb",0,0,70,66.36,76.84,100,0,0,0,0,0,0,0,58.85,38.73,53.39,73.36,0,0,0,0,0,0,0,0,71.57,59.09,69.99,64.9,0,0,0,0,0,0,0,0,0,0,70,80,80,0,0,0,0,0,0,0,0,0,80,80,80,0,0,0,0,0,0
....Oriental Mindoro,"Ginger, Hawaiian",47.41,47.49,60.69,55.12,53.66,79.38,78.19,85.25,38.73,37.08,46.87,46.31,29.23,35.64,31.3,31.77,36.96,22.33,25.22,22.58,31.39,31.36,34.27,35.07,32.91,24.07,20.99,24.68,23.44,24.39,21.78,21.98,22.37,31.34,25.61,28.02,30,25,20,25,25,30,30,30,32,0,0,0,30,28,22,30,30,35,30,30,35,40,40,40
....Oriental Mindoro,"Ginger, Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Oriental Mindoro,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Oriental Mindoro,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Oriental Mindoro,"Onion, red shallot (Sibuyas Tagalog)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Oriental Mindoro,"Onion, red creole (Bermuda red)",0,0,39.29,39.27,54.38,53.18,0,0,0,0,0,0,0,23.59,16.61,27.65,29.76,0,0,0,0,0,0,0,0,48.67,40.74,57.5,56.22,0,0,0,0,0,0,0,0,38,35.18,40,50,0,0,0,0,0,0,0,0,35,35.5,38,45,0,0,0,0,0,0,0
....Oriental Mindoro,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Oriental Mindoro,"Pepper, bell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,160,170,170,175,175,0,0,0,0,0,0,160,170,175,175,175,175,175,180,182
....Oriental Mindoro,"Pepper, finger",54.63,37.29,29.33,21.95,17.75,24.99,24.67,34.77,49.56,41.7,42.34,32.09,29.8,32.45,38.42,41.69,48.89,42.69,35.32,36.28,32.07,31.86,42.89,47.7,46.26,34.29,37.94,34.76,28.04,27.46,26.95,31.86,34.94,35.32,36.6,33.07,37.71,30.39,33.42,33.98,33.64,34.09,50,40,40,0,0,0,0,0,0,30,30,0,28,30,31.31,35,40,40
....Oriental Mindoro,Paminta [Black pepper],313.33,263.01,282.22,289.62,293.4,296.05,327.94,267.06,285.09,262.04,227.18,264.83,293.08,289.72,212.88,268.62,265.46,244.68,288.57,311.77,267.27,268.1,273.73,279.73,330.61,311.8,288.96,267.08,226.79,257.96,309.29,295.33,293.49,297.14,316.89,313.87,330,320,320,350,350,400,360,360,201.36,0,0,0,400,380,350,350,380,400,400,380,350,380,400,400
....Oriental Mindoro,Chili pepper fruit (Siling labuyo),0,0,0,0,0,0,0,0,0,0,0,0,32.66,37.09,35.65,45.82,58.75,61.61,62.76,63.76,43.26,52.6,82.03,97.12,81.5,72.88,68.86,71.78,57.59,47.28,43.85,47.36,47.41,53.26,42.78,40.92,80,80,80,80,70,60,45,45,36.36,50,55,60,85,85,80,0,0,0,48.28,50,46.04,50,60,70
....Palawan,"Garlic, dried bulb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Ginger, Hawaiian",36.23,44.92,41.01,34.07,45.92,45.79,43.77,45.33,44.63,38.31,28.98,29.42,32.67,29.23,28.68,26.71,30.64,43.7,32.56,29.31,20.3,26.04,26.48,22.84,27.41,24.13,27.53,21.75,25.06,24.45,22.3,25.29,24.33,27.22,25.33,27.24,25,25,25,0,0,0,30,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Ginger, Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40
....Palawan,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Onion, red shallot (Sibuyas Tagalog)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Onion, red creole (Bermuda red)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,"Pepper, bell",87.12,80.54,70.16,72.29,53.09,54.49,49.94,78.07,88.26,71.17,125.92,139.89,90.48,101.93,80.05,63.06,65.54,51.1,99.21,107.25,84.58,94.62,91.16,117.53,125.42,103.25,100,84.06,97.95,86.34,79.82,87.99,93.93,80.63,85.23,100.34,200,200,0,0,48.89,0,80,75,80,0,60,0,0,0,0,0,0,0,0,100,0,0,0,0
....Palawan,"Pepper, finger",75.79,62.24,53.24,48.69,36.59,33.76,27.52,57.21,55.58,65.47,95.97,96.73,83.53,82.99,73.23,44.29,40.28,49.69,65.49,64.33,57.4,43.25,35.13,71.71,95.54,82.52,75.18,61.74,52.74,44.92,57.52,63.84,53.2,60.15,67.44,73.16,0,0,0,0,0,0,0,0,0,0,45.07,0,0,0,0,0,50,50,0,93.45,70,0,0,0
....Palawan,Paminta [Black pepper],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Palawan,Chili pepper fruit (Siling labuyo),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
......City of Puerto Princesa,"Garlic, dried bulb",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Ginger, Hawaiian",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Ginger, Native",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,Spring onion,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,Onion Leeks,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Onion, red shallot (Sibuyas Tagalog)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Onion, red creole (Bermuda red)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Onion, yellow granex (Bermuda white)",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Pepper, bell",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,"Pepper, finger",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,Paminta [Black pepper],..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
......City of Puerto Princesa,Chili pepper fruit (Siling labuyo),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
....Romblon,"Garlic, dried bulb",0,0,0,110.48,101.5,0,0,0,0,0,0,0,0,0,0,111.58,116.14,0,0,0,0,0,0,0,0,0,0,110.94,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0
....Romblon,"Ginger, Hawaiian",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Ginger, Native",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,50,50,55,55,50,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60
....Romblon,Spring onion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,Onion Leeks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Onion, red shallot (Sibuyas Tagalog)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Onion, red creole (Bermuda red)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Onion, yellow granex (Bermuda white)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Pepper, bell",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
....Romblon,"Pepper, finger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,73.04,70,0,0,0,0,70,0,80,79,0,90,95,0,0,0,0,0,60,60,115,116.85,115
....Romblon,Paminta [Black pepper],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,0,0,0,0,0,0,0,0,0
