Geolocation,Commodity,Date_String,Price,Parent_Class,Date,Month_Index
MIMAROPA REGION,"Garlic, dried bulb",2023 February,71.57,Garlic (Dried Bulb),2023-02-01,25
MIMAROPA REGION,"Garlic, dried bulb",2023 March,102.69,Garlic (Dried Bulb),2023-03-01,26
MIMAROPA REGION,"Garlic, dried bulb",2023 April,110.31,Garlic (Dried Bulb),2023-04-01,27
MIMAROPA REGION,"Garlic, dried bulb",2023 May,64.9,Garlic (Dried Bulb),2023-05-01,28
MIMAROPA REGION,"Garlic, dried bulb",2023 August,35.0,Garlic (Dried Bulb),2023-08-01,31
MIMAROPA REGION,"Garlic, dried bulb",2024 March,150.0,Garlic (Dried Bulb),2024-03-01,38
MIMAROPA REGION,"Garlic, dried bulb",2024 April,85.0,Garlic (Dried Bulb),2024-04-01,39
MIMAROPA REGION,"Garlic, dried bulb",2024 May,80.0,Garlic (Dried Bulb),2024-05-01,40
MIMAROPA REGION,"Garlic, dried bulb",2024 June,80.0,Garlic (Dried Bulb),2024-06-01,41
MIMAROPA REGION,"Garlic, dried bulb",2025 April,93.33,Garlic (Dried Bulb),2025-04-01,51
MIMAROPA REGION,"Garlic, dried bulb",2025 May,85.0,Garlic (Dried Bulb),2025-05-01,52
MIMAROPA REGION,"Garlic, dried bulb",2025 June,80.0,Garlic (Dried Bulb),2025-06-01,53
MIMAROPA REGION,"Ginger, Hawaiian",2021 January,45.44,Ginger (All Sub-Varieties),2021-01-01,0
MIMAROPA REGION,"Ginger, Hawaiian",2021 February,43.98,Ginger (All Sub-Varieties),2021-02-01,1
MIMAROPA REGION,"Ginger, Hawaiian",2021 March,55.87,Ginger (All Sub-Varieties),2021-03-01,2
MIMAROPA REGION,"Ginger, Hawaiian",2021 April,49.93,Ginger (All Sub-Varieties),2021-04-01,3
MIMAROPA REGION,"Ginger, Hawaiian",2021 May,54.69,Ginger (All Sub-Varieties),2021-05-01,4
MIMAROPA REGION,"Ginger, Hawaiian",2021 June,61.72,Ginger (All Sub-Varieties),2021-06-01,5
MIMAROPA REGION,"Ginger, Hawaiian",2021 July,66.07,Ginger (All Sub-Varieties),2021-07-01,6
MIMAROPA REGION,"Ginger, Hawaiian",2021 August,71.2,Ginger (All Sub-Varieties),2021-08-01,7
MIMAROPA REGION,"Ginger, Hawaiian",2021 September,45.43,Ginger (All Sub-Varieties),2021-09-01,8
MIMAROPA REGION,"Ginger, Hawaiian",2021 October,40.6,Ginger (All Sub-Varieties),2021-10-01,9
MIMAROPA REGION,"Ginger, Hawaiian",2021 November,33.51,Ginger (All Sub-Varieties),2021-11-01,10
MIMAROPA REGION,"Ginger, Hawaiian",2021 December,32.18,Ginger (All Sub-Varieties),2021-12-01,11
MIMAROPA REGION,"Ginger, Hawaiian",2022 January,29.91,Ginger (All Sub-Varieties),2022-01-01,12
MIMAROPA REGION,"Ginger, Hawaiian",2022 February,31.44,Ginger (All Sub-Varieties),2022-02-01,13
MIMAROPA REGION,"Ginger, Hawaiian",2022 March,31.64,Ginger (All Sub-Varieties),2022-03-01,14
MIMAROPA REGION,"Ginger, Hawaiian",2022 April,33.7,Ginger (All Sub-Varieties),2022-04-01,15
MIMAROPA REGION,"Ginger, Hawaiian",2022 May,37.41,Ginger (All Sub-Varieties),2022-05-01,16
MIMAROPA REGION,"Ginger, Hawaiian",2022 June,34.33,Ginger (All Sub-Varieties),2022-06-01,17
MIMAROPA REGION,"Ginger, Hawaiian",2022 July,29.65,Ginger (All Sub-Varieties),2022-07-01,18
MIMAROPA REGION,"Ginger, Hawaiian",2022 August,26.72,Ginger (All Sub-Varieties),2022-08-01,19
MIMAROPA REGION,"Ginger, Hawaiian",2022 September,28.79,Ginger (All Sub-Varieties),2022-09-01,20
MIMAROPA REGION,"Ginger, Hawaiian",2022 October,28.33,Ginger (All Sub-Varieties),2022-10-01,21
MIMAROPA REGION,"Ginger, Hawaiian",2022 November,28.91,Ginger (All Sub-Varieties),2022-11-01,22
MIMAROPA REGION,"Ginger, Hawaiian",2022 December,27.39,Ginger (All Sub-Varieties),2022-12-01,23
MIMAROPA REGION,"Ginger, Hawaiian",2023 January,28.1,Ginger (All Sub-Varieties),2023-01-01,24
MIMAROPA REGION,"Ginger, Hawaiian",2023 February,24.03,Ginger (All Sub-Varieties),2023-02-01,25
MIMAROPA REGION,"Ginger, Hawaiian",2023 March,23.42,Ginger (All Sub-Varieties),2023-03-01,26
MIMAROPA REGION,"Ginger, Hawaiian",2023 April,23.1,Ginger (All Sub-Varieties),2023-04-01,27
MIMAROPA REGION,"Ginger, Hawaiian",2023 May,22.96,Ginger (All Sub-Varieties),2023-05-01,28
MIMAROPA REGION,"Ginger, Hawaiian",2023 June,23.91,Ginger (All Sub-Varieties),2023-06-01,29
MIMAROPA REGION,"Ginger, Hawaiian",2023 July,22.46,Ginger (All Sub-Varieties),2023-07-01,30
MIMAROPA REGION,"Ginger, Hawaiian",2023 August,25.08,Ginger (All Sub-Varieties),2023-08-01,31
MIMAROPA REGION,"Ginger, Hawaiian",2023 September,24.59,Ginger (All Sub-Varieties),2023-09-01,32
MIMAROPA REGION,"Ginger, Hawaiian",2023 October,28.6,Ginger (All Sub-Varieties),2023-10-01,33
MIMAROPA REGION,"Ginger, Hawaiian",2023 November,24.7,Ginger (All Sub-Varieties),2023-11-01,34
MIMAROPA REGION,"Ginger, Hawaiian",2023 December,26.45,Ginger (All Sub-Varieties),2023-12-01,35
MIMAROPA REGION,"Ginger, Hawaiian",2024 January,27.5,Ginger (All Sub-Varieties),2024-01-01,36
MIMAROPA REGION,"Ginger, Hawaiian",2024 February,25.0,Ginger (All Sub-Varieties),2024-02-01,37
MIMAROPA REGION,"Ginger, Hawaiian",2024 March,22.5,Ginger (All Sub-Varieties),2024-03-01,38
MIMAROPA REGION,"Ginger, Hawaiian",2024 April,25.0,Ginger (All Sub-Varieties),2024-04-01,39
MIMAROPA REGION,"Ginger, Hawaiian",2024 May,25.0,Ginger (All Sub-Varieties),2024-05-01,40
MIMAROPA REGION,"Ginger, Hawaiian",2024 June,30.0,Ginger (All Sub-Varieties),2024-06-01,41
MIMAROPA REGION,"Ginger, Hawaiian",2024 July,30.0,Ginger (All Sub-Varieties),2024-07-01,42
MIMAROPA REGION,"Ginger, Hawaiian",2024 August,27.5,Ginger (All Sub-Varieties),2024-08-01,43
MIMAROPA REGION,"Ginger, Hawaiian",2024 September,28.5,Ginger (All Sub-Varieties),2024-09-01,44
MIMAROPA REGION,"Ginger, Hawaiian",2024 October,20.0,Ginger (All Sub-Varieties),2024-10-01,45
MIMAROPA REGION,"Ginger, Hawaiian",2024 November,25.0,Ginger (All Sub-Varieties),2024-11-01,46
MIMAROPA REGION,"Ginger, Hawaiian",2024 December,25.0,Ginger (All Sub-Varieties),2024-12-01,47
MIMAROPA REGION,"Ginger, Hawaiian",2025 January,30.0,Ginger (All Sub-Varieties),2025-01-01,48
MIMAROPA REGION,"Ginger, Hawaiian",2025 February,28.0,Ginger (All Sub-Varieties),2025-02-01,49
MIMAROPA REGION,"Ginger, Hawaiian",2025 March,22.0,Ginger (All Sub-Varieties),2025-03-01,50
MIMAROPA REGION,"Ginger, Hawaiian",2025 April,30.0,Ginger (All Sub-Varieties),2025-04-01,51
MIMAROPA REGION,"Ginger, Hawaiian",2025 May,30.0,Ginger (All Sub-Varieties),2025-05-01,52
MIMAROPA REGION,"Ginger, Hawaiian",2025 June,35.0,Ginger (All Sub-Varieties),2025-06-01,53
MIMAROPA REGION,"Ginger, Hawaiian",2025 July,30.0,Ginger (All Sub-Varieties),2025-07-01,54
MIMAROPA REGION,"Ginger, Hawaiian",2025 August,30.0,Ginger (All Sub-Varieties),2025-08-01,55
MIMAROPA REGION,"Ginger, Hawaiian",2025 September,35.0,Ginger (All Sub-Varieties),2025-09-01,56
MIMAROPA REGION,"Ginger, Hawaiian",2025 October,37.5,Ginger (All Sub-Varieties),2025-10-01,57
MIMAROPA REGION,"Ginger, Hawaiian",2025 November,35.0,Ginger (All Sub-Varieties),2025-11-01,58
MIMAROPA REGION,"Ginger, Hawaiian",2025 December,35.0,Ginger (All Sub-Varieties),2025-12-01,59
MIMAROPA REGION,"Ginger, Native",2021 January,80.0,Ginger (All Sub-Varieties),2021-01-01,0
MIMAROPA REGION,"Ginger, Native",2021 February,61.1,Ginger (All Sub-Varieties),2021-02-01,1
MIMAROPA REGION,"Ginger, Native",2021 March,71.32,Ginger (All Sub-Varieties),2021-03-01,2
MIMAROPA REGION,"Ginger, Native",2021 April,75.35,Ginger (All Sub-Varieties),2021-04-01,3
MIMAROPA REGION,"Ginger, Native",2021 May,81.29,Ginger (All Sub-Varieties),2021-05-01,4
MIMAROPA REGION,"Ginger, Native",2021 June,96.05,Ginger (All Sub-Varieties),2021-06-01,5
MIMAROPA REGION,"Ginger, Native",2021 July,82.64,Ginger (All Sub-Varieties),2021-07-01,6
MIMAROPA REGION,"Ginger, Native",2021 August,60.89,Ginger (All Sub-Varieties),2021-08-01,7
MIMAROPA REGION,"Ginger, Native",2021 September,84.08,Ginger (All Sub-Varieties),2021-09-01,8
MIMAROPA REGION,"Ginger, Native",2021 October,75.71,Ginger (All Sub-Varieties),2021-10-01,9
MIMAROPA REGION,"Ginger, Native",2021 November,60.85,Ginger (All Sub-Varieties),2021-11-01,10
MIMAROPA REGION,"Ginger, Native",2021 December,51.09,Ginger (All Sub-Varieties),2021-12-01,11
MIMAROPA REGION,"Ginger, Native",2022 January,42.63,Ginger (All Sub-Varieties),2022-01-01,12
MIMAROPA REGION,"Ginger, Native",2022 February,49.9,Ginger (All Sub-Varieties),2022-02-01,13
MIMAROPA REGION,"Ginger, Native",2022 March,47.78,Ginger (All Sub-Varieties),2022-03-01,14
MIMAROPA REGION,"Ginger, Native",2022 April,49.6,Ginger (All Sub-Varieties),2022-04-01,15
MIMAROPA REGION,"Ginger, Native",2022 May,53.09,Ginger (All Sub-Varieties),2022-05-01,16
MIMAROPA REGION,"Ginger, Native",2022 June,52.18,Ginger (All Sub-Varieties),2022-06-01,17
MIMAROPA REGION,"Ginger, Native",2022 July,46.1,Ginger (All Sub-Varieties),2022-07-01,18
MIMAROPA REGION,"Ginger, Native",2022 August,54.17,Ginger (All Sub-Varieties),2022-08-01,19
MIMAROPA REGION,"Ginger, Native",2022 September,51.99,Ginger (All Sub-Varieties),2022-09-01,20
MIMAROPA REGION,"Ginger, Native",2022 October,57.36,Ginger (All Sub-Varieties),2022-10-01,21
MIMAROPA REGION,"Ginger, Native",2022 November,60.48,Ginger (All Sub-Varieties),2022-11-01,22
MIMAROPA REGION,"Ginger, Native",2022 December,62.19,Ginger (All Sub-Varieties),2022-12-01,23
MIMAROPA REGION,"Ginger, Native",2023 January,53.44,Ginger (All Sub-Varieties),2023-01-01,24
MIMAROPA REGION,"Ginger, Native",2023 February,43.32,Ginger (All Sub-Varieties),2023-02-01,25
MIMAROPA REGION,"Ginger, Native",2023 March,31.41,Ginger (All Sub-Varieties),2023-03-01,26
MIMAROPA REGION,"Ginger, Native",2023 April,31.33,Ginger (All Sub-Varieties),2023-04-01,27
MIMAROPA REGION,"Ginger, Native",2023 May,36.24,Ginger (All Sub-Varieties),2023-05-01,28
MIMAROPA REGION,"Ginger, Native",2023 June,30.78,Ginger (All Sub-Varieties),2023-06-01,29
MIMAROPA REGION,"Ginger, Native",2023 July,32.61,Ginger (All Sub-Varieties),2023-07-01,30
MIMAROPA REGION,"Ginger, Native",2023 August,39.89,Ginger (All Sub-Varieties),2023-08-01,31
MIMAROPA REGION,"Ginger, Native",2023 September,53.57,Ginger (All Sub-Varieties),2023-09-01,32
MIMAROPA REGION,"Ginger, Native",2023 October,51.74,Ginger (All Sub-Varieties),2023-10-01,33
MIMAROPA REGION,"Ginger, Native",2023 November,51.77,Ginger (All Sub-Varieties),2023-11-01,34
MIMAROPA REGION,"Ginger, Native",2023 December,45.44,Ginger (All Sub-Varieties),2023-12-01,35
MIMAROPA REGION,"Ginger, Native",2024 January,40.0,Ginger (All Sub-Varieties),2024-01-01,36
MIMAROPA REGION,"Ginger, Native",2024 February,45.0,Ginger (All Sub-Varieties),2024-02-01,37
MIMAROPA REGION,"Ginger, Native",2024 March,40.0,Ginger (All Sub-Varieties),2024-03-01,38
MIMAROPA REGION,"Ginger, Native",2024 April,46.68,Ginger (All Sub-Varieties),2024-04-01,39
MIMAROPA REGION,"Ginger, Native",2024 May,50.0,Ginger (All Sub-Varieties),2024-05-01,40
MIMAROPA REGION,"Ginger, Native",2024 June,50.0,Ginger (All Sub-Varieties),2024-06-01,41
MIMAROPA REGION,"Ginger, Native",2024 July,58.21,Ginger (All Sub-Varieties),2024-07-01,42
MIMAROPA REGION,"Ginger, Native",2024 August,54.8,Ginger (All Sub-Varieties),2024-08-01,43
MIMAROPA REGION,"Ginger, Native",2024 September,50.0,Ginger (All Sub-Varieties),2024-09-01,44
MIMAROPA REGION,"Ginger, Native",2024 October,80.0,Ginger (All Sub-Varieties),2024-10-01,45
MIMAROPA REGION,"Ginger, Native",2025 February,115.87,Ginger (All Sub-Varieties),2025-02-01,49
MIMAROPA REGION,"Ginger, Native",2025 March,89.25,Ginger (All Sub-Varieties),2025-03-01,50
MIMAROPA REGION,"Ginger, Native",2025 April,20.0,Ginger (All Sub-Varieties),2025-04-01,51
MIMAROPA REGION,"Ginger, Native",2025 May,65.0,Ginger (All Sub-Varieties),2025-05-01,52
MIMAROPA REGION,"Ginger, Native",2025 June,65.0,Ginger (All Sub-Varieties),2025-06-01,53
MIMAROPA REGION,"Ginger, Native",2025 July,90.0,Ginger (All Sub-Varieties),2025-07-01,54
MIMAROPA REGION,"Ginger, Native",2025 August,60.0,Ginger (All Sub-Varieties),2025-08-01,55
MIMAROPA REGION,"Ginger, Native",2025 September,60.0,Ginger (All Sub-Varieties),2025-09-01,56
MIMAROPA REGION,"Ginger, Native",2025 October,50.0,Ginger (All Sub-Varieties),2025-10-01,57
MIMAROPA REGION,"Ginger, Native",2025 November,40.0,Ginger (All Sub-Varieties),2025-11-01,58
MIMAROPA REGION,"Ginger, Native",2025 December,63.33,Ginger (All Sub-Varieties),2025-12-01,59
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 February,60.0,Onions (All Sub-Varieties),2021-02-01,1
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 March,41.02,Onions (All Sub-Varieties),2021-03-01,2
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 April,39.94,Onions (All Sub-Varieties),2021-04-01,3
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 May,50.91,Onions (All Sub-Varieties),2021-05-01,4
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2021 June,46.42,Onions (All Sub-Varieties),2021-06-01,5
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 January,125.65,Onions (All Sub-Varieties),2022-01-01,12
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 February,24.02,Onions (All Sub-Varieties),2022-02-01,13
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 March,16.68,Onions (All Sub-Varieties),2022-03-01,14
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 April,22.66,Onions (All Sub-Varieties),2022-04-01,15
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 May,25.54,Onions (All Sub-Varieties),2022-05-01,16
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2022 June,31.26,Onions (All Sub-Varieties),2022-06-01,17
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 January,150.43,Onions (All Sub-Varieties),2023-01-01,24
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 February,64.3,Onions (All Sub-Varieties),2023-02-01,25
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 March,46.45,Onions (All Sub-Varieties),2023-03-01,26
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 April,63.79,Onions (All Sub-Varieties),2023-04-01,27
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2023 May,60.31,Onions (All Sub-Varieties),2023-05-01,28
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 February,34.0,Onions (All Sub-Varieties),2024-02-01,37
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 March,32.59,Onions (All Sub-Varieties),2024-03-01,38
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 April,40.0,Onions (All Sub-Varieties),2024-04-01,39
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2024 May,50.0,Onions (All Sub-Varieties),2024-05-01,40
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 February,44.27,Onions (All Sub-Varieties),2025-02-01,49
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 March,43.62,Onions (All Sub-Varieties),2025-03-01,50
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 April,45.1,Onions (All Sub-Varieties),2025-04-01,51
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 May,47.0,Onions (All Sub-Varieties),2025-05-01,52
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 August,51.89,Onions (All Sub-Varieties),2025-08-01,55
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 October,53.51,Onions (All Sub-Varieties),2025-10-01,57
MIMAROPA REGION,"Onion, red creole (Bermuda red)",2025 November,52.5,Onions (All Sub-Varieties),2025-11-01,58
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2021 March,80.0,Onions (All Sub-Varieties),2021-03-01,2
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2023 February,116.67,Onions (All Sub-Varieties),2023-02-01,25
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 February,54.74,Onions (All Sub-Varieties),2024-02-01,37
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 March,55.0,Onions (All Sub-Varieties),2024-03-01,38
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2024 April,18.56,Onions (All Sub-Varieties),2024-04-01,39
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 March,44.0,Onions (All Sub-Varieties),2025-03-01,50
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 April,45.0,Onions (All Sub-Varieties),2025-04-01,51
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 May,50.0,Onions (All Sub-Varieties),2025-05-01,52
MIMAROPA REGION,"Onion, red shallot (Sibuyas Tagalog)",2025 November,92.41,Onions (All Sub-Varieties),2025-11-01,58
MIMAROPA REGION,"Onion, yellow granex (Bermuda white)",2025 April,60.0,Onions (All Sub-Varieties),2025-04-01,51
MIMAROPA REGION,"Onion, yellow granex (Bermuda white)",2025 May,65.0,Onions (All Sub-Varieties),2025-05-01,52
MIMAROPA REGION,Paminta [Black pepper],2021 January,313.33,Black Pepper (Paminta),2021-01-01,0
MIMAROPA REGION,Paminta [Black pepper],2021 February,263.01,Black Pepper (Paminta),2021-02-01,1
MIMAROPA REGION,Paminta [Black pepper],2021 March,282.22,Black Pepper (Paminta),2021-03-01,2
MIMAROPA REGION,Paminta [Black pepper],2021 April,289.62,Black Pepper (Paminta),2021-04-01,3
MIMAROPA REGION,Paminta [Black pepper],2021 May,293.4,Black Pepper (Paminta),2021-05-01,4
MIMAROPA REGION,Paminta [Black pepper],2021 June,296.05,Black Pepper (Paminta),2021-06-01,5
MIMAROPA REGION,Paminta [Black pepper],2021 July,327.94,Black Pepper (Paminta),2021-07-01,6
MIMAROPA REGION,Paminta [Black pepper],2021 August,267.06,Black Pepper (Paminta),2021-08-01,7
MIMAROPA REGION,Paminta [Black pepper],2021 September,285.09,Black Pepper (Paminta),2021-09-01,8
MIMAROPA REGION,Paminta [Black pepper],2021 October,262.04,Black Pepper (Paminta),2021-10-01,9
MIMAROPA REGION,Paminta [Black pepper],2021 November,227.18,Black Pepper (Paminta),2021-11-01,10
MIMAROPA REGION,Paminta [Black pepper],2021 December,264.83,Black Pepper (Paminta),2021-12-01,11
